data,IFIX,SMLL,IDIV
2014-09-18,0.0014908369783830366,-0.006742196165425485,-0.011314831425104144
2014-09-19,-0.003847936298397636,-0.001036938956201272,-0.012356879267606091
2014-09-22,-0.001247656238986039,-0.022492993396625693,-0.02307505268276877
2014-09-23,0.0014609461567234305,-0.0012661123000767827,-0.004856208120044614
2014-09-24,0.00032418109037601894,0.00220010305315399,0.002070347345926038
2014-09-25,0.0006974679798790184,-0.009744075210550207,-0.011650415432571282
2014-09-26,0.002597841468308326,0.011430502216874583,0.013387132527280743
2014-09-29,-0.004199143318587173,-0.02731220819855129,-0.048793049025634194
2014-09-30,0.002341127690181466,0.003970614104894521,-0.005810162544827913
2014-10-01,4.9245835209266176e-05,-0.02589882437359714,-0.018791356795690217
2014-10-02,-0.0009496943391181789,-0.0010963879157493972,0.004774380673306933
2014-10-03,-0.005612043713384418,0.01484320736758149,0.014748071109105032
2014-10-06,0.0016924068291093164,0.02545838614279683,0.0430919435274284
2014-10-07,0.003068048466682738,0.007374570503365874,0.017917466303042584
2014-10-08,-0.0019380937614523752,-0.003059104516677902,-0.0033379456336584123
2014-10-09,0.0005013522387848912,-0.0013373371402316536,-0.00432537674197353
2014-10-10,0.0017220936141379983,-0.020563419623565338,-0.02975365462762103
2014-10-13,-0.0001690950596060503,0.021246791591873704,0.05300434283489497
2014-10-14,0.0015221129182287907,-0.0034414501728938784,0.004958866420535779
2014-10-15,-0.0009709830851932777,-0.021519467246892687,-0.027171648857026942
2014-10-16,-0.0021692279520515445,-0.016644064655789603,-0.036506621135353634
2014-10-17,0.002251584579116006,0.009593558610647257,0.016009674495927495
2014-10-20,-0.00247892561110441,-0.017061892843507565,-0.027327604573538777
2014-10-21,-0.004122983515125966,-0.026757815871700563,-0.029584848352097737
2014-10-22,-0.0007230914285308865,-0.009507423239973778,-0.005194492513731164
2014-10-23,-0.003078909470129565,-0.023253523396787323,-0.029242260602815318
2014-10-24,0.00019925280199251105,0.022386212586515075,0.02523972912245287
2014-10-27,-0.0073993440196935545,-0.013700718211733465,-0.05499692992321781
2014-10-28,0.001813451076243755,0.03566396058145993,0.02772050474606691
2014-10-29,-0.0010446031223616536,-0.007426133670406121,-0.034146356730838545
2014-10-30,0.0030583011029938767,0.01305316778096155,0.007171164982161304
2014-10-31,0.0014209515376981674,0.02961973601508494,0.03710305331231312
2014-11-03,-0.0028592615832180313,-0.01111535037517497,-0.012291293098634304
2014-11-04,-0.0015946226178984446,0.0005401512423479637,0.004573151579873036
2014-11-05,-0.0030582572946956654,-0.005244350754518234,-0.021720506759714486
2014-11-06,-0.003936923021660266,-0.018925787138734385,-0.020058231513412017
2014-11-07,-0.001904116208789275,-3.512222534440834e-05,0.013835029825871814
2014-11-10,-0.004805503566189362,-0.00620807137086854,-0.012597513310064312
2014-11-11,-0.00773319391800642,-0.0018820078284456088,-0.008640153255207061
2014-11-12,-0.0037540339399793066,0.006816330866470599,0.0025502239661898685
2014-11-13,-0.006750403995886667,-0.011395009407916601,-0.01594752559307422
2014-11-14,-0.0017305004400205437,-0.004535833081342755,-0.005689578211713564
2014-11-17,-0.0020446413358323756,-0.012409763419340858,-0.011092498911186355
2014-11-18,-0.0014846597531010808,0.008829462904495156,-0.002110583747488848
2014-11-19,-0.002735835730906633,0.01467963951037965,0.023856244652969316
2014-11-21,0.001930775366586257,0.03348593042986425,0.06311695287864372
2014-11-24,0.0055802741030639424,-7.696188676353799e-05,-0.008801751617189213
2014-11-25,0.0020125488339055586,-0.006396880238087155,0.00401830104847134
2014-11-26,0.0020971172022683504,-0.002762858913447519,-0.015197149241709673
2014-11-27,-0.0003242255430776497,0.006300544608718983,-0.0029564896379652428
2014-11-28,0.003589751149899678,0.006286826824937863,-9.894827558687425e-05
2014-12-01,-0.004803490242451414,-0.03266113222985523,-0.045118494305122714
2014-12-02,-0.0028709122711204627,-0.006150104851357807,-0.013679671046033515
2014-12-03,-0.005647333984663994,0.00574488457037492,0.010486784753150458
2014-12-04,-0.0012207376530575242,-0.01185606995522026,-0.016935451410784563
2014-12-05,0.001512881853615644,0.0010437202829642889,0.0068717735249059775
2014-12-08,-0.005707524705321987,-0.0191683895344692,-0.03524942645977425
2014-12-09,-0.0036671980361780987,-0.010057693181302119,-0.013365180280651145
2014-12-10,-6.760461814647734e-05,-0.006204225481378112,-0.02334009754708244
2014-12-11,-0.000871407322826423,-0.002595075820542636,-0.0013669468603964008
2014-12-12,-0.006180358190102431,-0.0213053582837196,-0.029007990246715853
2014-12-15,-0.0008170676350430783,-0.0165089877010407,-0.02739350104506555
2014-12-16,-0.012546186928342085,-0.01818094367755274,-0.004831384674847783
2014-12-17,0.006448644711114504,0.024308038994758308,0.03218176521992433
2014-12-18,0.004296946425306425,0.0007556482314003965,-0.0012567682993366303
2014-12-19,0.003990289789106427,0.012425328554360737,0.03564821966114984
2014-12-22,-0.002954377162891264,0.008392730705688134,0.014449468694636813
2014-12-23,0.0036679170929485583,0.006075982549104131,0.023900796454147333
